Tier         Weight   Score  Name
Mythic       1        810    Supernova
Mythic       1        711    Diamond
  --- Mythic: 2 ---

Legendary    3        702    Nebula_Cloud
Legendary    3        608    Glitch
Legendary    3        600    Fusion_Glitch_Field
  --- Legendary: 3 ---

Epic         10       500    Pulsar
Epic         10       212    Constellation
Epic         10       112    Rain_Puddles
Epic         10       103    Prism_Rainbow
Epic         10       100    Code_Rain
Epic         10       16     Prism
Epic         10       16     Snowflake
Epic         10       16     Tessellation
Epic         10       16     Tile_Mosaic
  --- Epic: 9 ---

Rare         25       16     Cardioid
Rare         25       16     Caustics
Rare         25       16     Current
Rare         25       16     Decoder
Rare         25       16     Finale_Moire_Data
Rare         25       16     Finale_Plasma_Kaleido
Rare         25       16     Galaxy_Spin
Rare         25       16     Magnetic_Goo
Rare         25       15     Colony
Rare         25       15     Data_Port
Rare         25       15     Engraving
Rare         25       15     Print_Dot
Rare         25       15     Symmetry
Rare         25       15     Synth
Rare         25       15     Water_Gleam
Rare         25       15     Worms
Rare         25       15     Zebra_Turing
Rare         25       14     Voxel_Beat
  --- Rare: 18 ---

Uncommon     60       14     Bee_Grid
Uncommon     60       14     Fractal_Rug
Uncommon     60       14     Penrose
Uncommon     60       14     Stream
Uncommon     60       14     Trails
Uncommon     60       14     Vortex
Uncommon     60       13     Crystal_Grid
Uncommon     60       13     Membrane
Uncommon     60       13     Metaball
Uncommon     60       13     Milky_Way
Uncommon     60       13     Rose_Curve
Uncommon     60       13     Spirograph
Uncommon     60       13     Strange_Loop
Uncommon     60       13     Voronoi
Uncommon     60       12     Chimera
Uncommon     60       12     Glass
Uncommon     60       12     Sound_Wave
Uncommon     60       12     Tornado
Uncommon     60       11     Automata
Uncommon     60       11     Coral
Uncommon     60       11     Finale_Tunnel_Orbs
Uncommon     60       11     Hyper_Vortex
Uncommon     60       11     Infinity_Loop
Uncommon     60       10     Cyclone
Uncommon     60       10     Finale_Star_Crystal
Uncommon     60       10     Grid_Tunnel
Uncommon     60       10     Mandala_Spiral
Uncommon     60       10     Mirror
Uncommon     60       10     Plasma_Flow
Uncommon     60       10     RGB_Shift
Uncommon     60       9      Funnel
Uncommon     60       9      Fusion_Warp_Halftone
Uncommon     60       9      Path_Trace
Uncommon     60       9      Plasma
Uncommon     60       9      Pond
Uncommon     60       9      Stars
Uncommon     60       9      VHS_Warp
Uncommon     60       9      Whirlpool
  --- Uncommon: 38 ---

Common       120      9      Cortex
Common       120      9      Eddy_Field
Common       120      9      Finale_Cosmos_Waves
Common       120      8      Cells
Common       120      8      Facets
Common       120      8      Fractal_Depth
Common       120      8      Hologram
Common       120      8      Jelly
Common       120      8      Merge
Common       120      8      Pattern_Weave
Common       120      8      Reaction
Common       120      8      Ripple
Common       120      8      Spores
Common       120      8      Wind
Common       120      7      Axis_Spin
Common       120      7      Blob_Capsule
Common       120      7      Chromatic
Common       120      7      Data_Stream
Common       120      7      Dot_Fabric
Common       120      7      Drop
Common       120      7      Fusion_Penrose_Flow
Common       120      7      Gem_Cut
Common       120      7      Moire
Common       120      7      Scanline
Common       120      7      Signal
Common       120      7      Tissue
Common       120      7      Warp_Field
Common       120      7      Wave_Moire
Common       120      6      Curl
Common       120      6      Lake
Common       120      6      Light_Ray
Common       120      6      Line_Ripple
Common       120      6      Mobius
Common       120      6      Oscillator
Common       120      6      Quartz
Common       120      6      Radial
Common       120      6      Spiral_Arms
Common       120      6      Viscous
Common       120      6      Waves
Common       120      5      CRT
Common       120      5      Fusion_CRT_Life
Common       120      5      Fusion_Meta_Caustic
Common       120      5      Interlace
Common       120      5      Ornament
Common       120      5      Rosette
Common       120      4      Amoeba
Common       120      4      Fusion_Fractal_Worms
Common       120      4      Gouache
Common       120      4      Kaleidoscope
Common       120      4      RD_Layers
Common       120      4      Star_Burst
Common       120      4      Stripes
Common       120      3      Corridor
Common       120      3      Diffusion
Common       120      3      Eddy
Common       120      3      Flow_Field
Common       120      3      Goo_Bubbles
Common       120      3      Interference
Common       120      3      Magnet_Field
Common       120      3      Parquet
Common       120      3      Singularity
Common       120      3      Turbulence
Common       120      2      Crystal
Common       120      2      Distortion
Common       120      2      Event_Horizon
Common       120      2      Fractal_Mosaic
Common       120      2      Fusion_Node_Spiro
Common       120      2      Fusion_Voronoi_RD
Common       120      2      Glitter
Common       120      2      Grid_Moire
Common       120      2      Network
Common       120      2      Slime
Common       120      1      Curl_Field
Common       120      1      Finale_Mandala_Pulse
Common       120      1      Mandala
Common       120      1      Morphogenesis
Common       120      1      Organic
Common       120      1      Spiral_Path
Common       120      0      Aether
Common       120      0      Asteroid_Belt
Common       120      0      Beat_Pulse
Common       120      0      Bio_Foam
Common       120      0      Halftone
Common       120      0      Pixel_Sort
  --- Common: 84 ---
