Tier         Weight   Score  Name race
Mythic       1        1000   Grim_Reaper  mythic
Mythic       1        950    Crimson_Samurai  mythic
Mythic       1        863    Brain_Zombie  ashborn
  --- Mythic: 3 ---

Legendary    3        860    Teal_Mindflayer  voidkin
Legendary    3        860    Tentacle_Alien  voidkin
Legendary    3        766    Flame_Skull  ashborn
Legendary    3        758    Cyber_Bear  ironborn
Legendary    3        756    Gold_Warrior  mythic
Legendary    3        755    Winged_Demon  hellspawn
  --- Legendary: 6 ---

Epic         10       663    Angel  highborn
Epic         10       662    Pale_Vampire  ashborn
Epic         10       656    Pharaoh  mythic
Epic         10       566    Crying_Demon  hellspawn
Epic         10       565    Horned_Demon  hellspawn
Epic         10       565    Oni_Mask  hellspawn
Epic         10       565    Scarred_Cyborg  ironborn
Epic         10       564    Blue_Oni  hellspawn
Epic         10       564    Frost_Yeti  wildkin
Epic         10       563    Smiley_Monitor  ironborn
Epic         10       561    Bug_Eyed_Alien  voidkin
Epic         10       561    Glitch_Cyborg  ironborn
Epic         10       557    Green_Alien  voidkin
Epic         10       557    Monitor_Head  ironborn
Epic         10       555    Snow_Yeti  wildkin
Epic         10       554    Big_Head_Alien  voidkin
Epic         10       554    Trippy_Alien  voidkin
  --- Epic: 17 ---

Rare         25       553    Green_Cyborg_Elf  ironborn
Rare         25       553    Split_Cyborg  ironborn
Rare         25       550    Red_Cyborg  ironborn
Rare         25       464    Tricorn_Skull  mythic
Rare         25       464    Wire_Skull  ironborn
Rare         25       464    Zombie_Pirate  ashborn
Rare         25       463    Flower_Zombie  ashborn
Rare         25       461    Blue_Skull  ashborn
Rare         25       459    Antler_Skull  ashborn
Rare         25       459    Glow_Skull  voidkin
Rare         25       457    Gilded_Skull  mythic
Rare         25       457    Steel_Robot  ironborn
Rare         25       455    Skull_Flytrap  ashborn
Rare         25       454    Brey_Skull  ashborn
Rare         25       452    Cross_Robot  ironborn
Rare         25       452    Skull_King  ashborn
Rare         25       450    Glitch_Smirk  eldritch
Rare         25       366    Cyber_Ninja  ironborn
Rare         25       364    Feather_Chief  mythic
Rare         25       363    Parrot_Pirate  corsair
Rare         25       363    Tribal_Chief  highborn
Rare         25       362    Pirate_Cat  wildkin
Rare         25       361    Viking_Banana  highborn
Rare         25       359    Horned_Viking  hellspawn
Rare         25       358    Frost_Viking  highborn
Rare         25       357    Green_Assassin  corsair
Rare         25       355    Cyan_Mustache_Chief  highborn
Rare         25       355    Shadow_Ninja  corsair
Rare         25       352    Pirate  corsair
Rare         25       351    Bitcoin_Ninja  corsair
Rare         25       266    Paper_Fan  highborn
Rare         25       265    Goggle_Monkey  wildkin
Rare         25       264    Orange_Hound  wildkin
Rare         25       260    Spiked_Bulldog  wildkin
Rare         25       260    Stoned_Fox  wildkin
  --- Rare: 35 ---

Uncommon     60       260    Cat_Woman  wildkin
Uncommon     60       260    Goggle_Fox  wildkin
Uncommon     60       260    Noir_Cat  wildkin
Uncommon     60       259    Red_Fez_Ape  wildkin
Uncommon     60       255    Gear_Owl  ironborn
Uncommon     60       253    Cat_Headphones  wildkin
Uncommon     60       253    Street_Ape  wildkin
Uncommon     60       251    Bowtie_Owl  wildkin
Uncommon     60       251    Grumpy_Cat  wildkin
Uncommon     60       251    Jester_Cat  wildkin
Uncommon     60       250    Ape_Beard  wildkin
Uncommon     60       250    Green_Doge  wildkin
Uncommon     60       250    Stoned_Cat  wildkin
Uncommon     60       164    Dollar_Hood  corsair
Uncommon     60       163    Camo_Soldier  highborn
Uncommon     60       163    Hooded_Doom  highborn
Uncommon     60       162    Beanie_Sage  highborn
Uncommon     60       161    Circuit_Hood  ironborn
Uncommon     60       160    Beanie_Cyclops  primal
Uncommon     60       158    Pink_Beanie  highborn
Uncommon     60       155    Fish_Diver  wildkin
Uncommon     60       152    Roaring_Sage  highborn
Uncommon     60       151    Brass_Diver  highborn
Uncommon     60       151    Neko_Hood  wildkin
Uncommon     60       16     Banana_Cowboy  highborn
Uncommon     60       16     Bandana_Rebel  corsair
Uncommon     60       16     Cowboy  highborn
