Tier         Weight   Score  Name
Mythic       1        1000   Genesis_Block
Mythic       1        1000   One_Of_One_Aura
  --- Mythic: 2 ---

Legendary    3        950    Quantum_Superposition
Legendary    3        950    Supernova_Remnant
Legendary    3        950    Supernova_Shock
Legendary    3        950    White_Hole
  --- Legendary: 4 ---

Epic         10       907    Quantum_Flux
Epic         10       815    Eclipse_Corona
Epic         10       806    Paradox_Mobius
Epic         10       804    Doppelganger
Epic         10       715    Chrome_Dip
Epic         10       714    Diamond_Edge
Epic         10       710    Golden_Spiral
Epic         10       709    Holographic_Foil
Epic         10       705    Diamond_Facet
Epic         10       702    Golden_Ratio
Epic         10       701    Celestial_Zodiac
Epic         10       612    Datamosh_Tear
  --- Epic: 12 ---

Rare         25       611    Witch_Hex
Rare         25       610    Glitch_Repair
Rare         25       610    Torn_Edge_Glitch
Rare         25       609    Glitch_Shift
Rare         25       607    Entropy_Shuffle
Rare         25       606    Qr_Glitch
Rare         25       602    Blood_Drip
Rare         25       601    Fusion_Glitch_Pulse
Rare         25       601    Glitch_Rgb
Rare         25       516    Royal_Ink
Rare         25       513    Laurel_Wreath
Rare         25       509    Scale_Armor
Rare         25       507    Baroque_Gilt
Rare         25       504    Chainmail_Weave
Rare         25       415    Laser_Cross
Rare         25       413    Fusion_Pixel_Neon
Rare         25       412    Neon_Rainbow
Rare         25       410    Lunar_Eclipse
Rare         25       407    Pulsar_Beam
Rare         25       406    Fusion_Pulse_Neon
Rare         25       406    Meteor_Impact
Rare         25       405    Neon_Strobe
Rare         25       403    Eclipse_Ring
Rare         25       400    Neon_Tubes
  --- Rare: 24 ---

Uncommon     60       400    Neon_Flash
Uncommon     60       313    Henna_Lace
Uncommon     60       312    Marble_Vein
Uncommon     60       312    Stained_Glass
Uncommon     60       307    Stained_Fill
Uncommon     60       306    Embroidery_Stitch
Uncommon     60       306    Mosaic_Shift
Uncommon     60       301    Marble_Inlay
Uncommon     60       216    Roots_Grip
Uncommon     60       215    Frost_Breath
Uncommon     60       206    Dungeon_Torch
Uncommon     60       205    Frost_Crystal
Uncommon     60       204    Bamboo_Grove
Uncommon     60       204    Frost_Crawl
Uncommon     60       204    Torch_Wall
Uncommon     60       203    Torch_Flicker
Uncommon     60       200    Frost_Coat
Uncommon     60       116    Continue_Screen
Uncommon     60       115    Auction_Hammer
Uncommon     60       115    Game_Over
Uncommon     60       102    Camera_Leak
Uncommon     60       100    Rain_Window
Uncommon     60       16     Pixel_Dither
Uncommon     60       16     Portal_Ring
Uncommon     60       16     Vhs_Tracking
Uncommon     60       15     Electron_Orbit
Uncommon     60       15     Harmonic_Wave
Uncommon     60       15     Height_Map
Uncommon     60       15     Moir_Edge
Uncommon     60       15     Nebula_Mist
Uncommon     60       15     Pi_Digits
Uncommon     60       15     Plasma_Blob
Uncommon     60       15     Rotating_Binary
Uncommon     60       14     Galaxy_Spiral
Uncommon     60       14     Ink_Bleed
Uncommon     60       14     Lava_Glass
Uncommon     60       14     Phantom_Trace
Uncommon     60       14     Snow_Static
Uncommon     60       14     Star_Chart
Uncommon     60       13     Chip_Pins
Uncommon     60       13     Fusion_Wave_Corner
Uncommon     60       13     Ocean_Ripple
Uncommon     60       13     Pinwheel
Uncommon     60       13     Quad_Split
Uncommon     60       13     Tidal_Lock
Uncommon     60       13     Vine_Creep
Uncommon     60       12     Peacock_Iris
Uncommon     60       12     Pixel_Chain
Uncommon     60       12     Ring_Scanner
Uncommon     60       12     Wave_All_Edges
  --- Uncommon: 50 ---

Common       120      12     Bsod_Crash
Common       120      12     Fusion_Scan_Rotate
Common       120      12     Grid_Depth
Common       120      12     Hourglass_Turn
Common       120      12     Mandala_Reveal
Common       120      11     Checker_Scroll
Common       120      11     Circuit_Maze
Common       120      11     Deep_Space
Common       120      11     Depth_Grid
Common       120      11     Dust_Orbit
Common       120      11     Flicker_Pulse
Common       120      11     Infinity_Loop
Common       120      11     Magma_Crust
Common       120      11     Ouroboros
Common       120      11     Petri_Culture
Common       120      11     Zoetrope_Slits
Common       120      10     Digital_Melt
Common       120      10     Gray_Code_Walk
Common       120      10     Particle_Trail
Common       120      10     Proton_Glow
Common       120      10     Spinning_Segments
Common       120      9      Aurora_Flow
Common       120      9      Circuit_Trace
Common       120      9      Color_Wheel_Border
Common       120      9      Edge_Glow_Pulse
Common       120      9      Gradient_Pulse
Common       120      9      Isometric_Grid
Common       120      9      Perspective_Lines
Common       120      9      Wave_Pulse_Combo
Common       120      8      Block_Corrupt
Common       120      8      Breath_Frame
Common       120      8      Deep_Angler
Common       120      8      Phase_Gate
Common       120      8      Quasar_Beam
Common       120      8      Time_Loop_Scar
Common       120      8      Wire_Spaghetti
Common       120      7      Lichen_Growth
Common       120      7      Scatter_Rift
Common       120      7      Steampunk_Brass
Common       120      7      Tsunami_Wave
Common       120      6      Clock_Tick
Common       120      6      Fractal_Edge
Common       120      6      Fusion_Rotate_Wave
Common       120      6      Kraken_Ink
Common       120      6      Mercury_Blob
Common       120      6      Morse_Sos
Common       120      6      Pixel_Noise
Common       120      6      Retro_Block
Common       120      6      Sacred_Flower
Common       120      6      Slow_Pulse
Common       120      6      Stardust
Common       120      6      VHS_Tear
Common       120      6      Wave_Interference
Common       120      6      Y2k_Chrome
Common       120      5      Bayer_Edge
Common       120      5      Blizzard
Common       120      5      Blizzard_Wall
Common       120      5      Bullion_Stack
Common       120      5      Leaf_Rustle
Common       120      5      Mandala_Spin
Common       120      5      Moire_Interference
Common       120      5      Pixel_Sparkle
Common       120      5      Polar_Day
Common       120      5      Prime_Lock
Common       120      5      Rivet_Plate
Common       120      5      Sandfall_Cascade
Common       120      5      Triangle_March
Common       120      4      Constellation_Map
